category,question,option1,option2,option3,option4,answer
두려움,하나님은 우리에게 두려워하는 마음이 아니라 어떤 마음을 주셨는가?,미움,근심,사랑과 절제,교만,3
두려움,예수님이 물 위를 걸으실 때 제자들이 두려워했을 때 하신 말씀은?,왜 믿음이 없느냐,두려워 말라 나다,기도하라,잠잠하라,2
두려움,모세가 바로 앞에 섰을 때 두려워하지 않았던 이유는?,지팡이,하나님의 약속,형 아론,이스라엘 백성,2
두려움,요셉이 형들에게 '두려워하지 마소서'라고 말한 이유는?,형들이 울어서,하나님이 하신 일이라 믿어서,복수할 수 없어서,애굽왕 때문,2
두려움,시편 23편에서 '내가 사망의 음침한 골짜기를 다닐지라도'라는 구절 다음에 나오는 말은?,두렵다,외롭다,해를 두려워하지 아니하리니,하나님은 멀리 계시다,3
두려움,기드온이 전쟁에 나가기 전 두려워하지 않도록 하나님이 보여주신 것은?,불기둥,적군의 꿈,천사,나팔,2
두려움,바울은 두려워하는 자들에게 무엇을 권면했는가?,도망가라,기도하라,믿음을 가져라,하나님을 의지하라,4
두려움,두려움을 이기는 완전한 사랑은 무엇을 내쫓는가?,죄,미움,공포,두려움,4
두려움,하나님을 경외하는 것이 무엇의 시작이라고 하는가?,지혜,사랑,믿음,진리,1
두려움,엘리야가 이세벨을 두려워해 도망한 장소는?,예루살렘,호렙산,갈멜산,여리고,2
두려움,예수님께서 폭풍우 속에서 배에 계셨을 때 제자들이 느낀 감정은?,기쁨,슬픔,두려움,평안,3
두려움,가나안 땅 정탐 후 두려워하지 말라고 말한 인물은?,여호수아와 갈렙,모세와 아론,엘리야와 엘리사,사울과 요나단,1
두려움,성경에서 가장 많이 반복되는 명령은?,기도하라,두려워하지 말라,사랑하라,회개하라,2
두려움,마리아가 천사의 방문을 받았을 때 처음 들은 말은?,기도하라,두려워하지 말라,복을 받으리라,무서워 말라,2
두려움,베드로가 물 위를 걷다 두려움에 빠진 이유는?,예수님을 놓쳐서,바람을 보고,배가 흔들려서,물결이 커서,2
두려움,하나님은 두려워하는 자를 어떻게 도우시는가?,지켜보심,책망하심,버리심,건지심,4
두려움,예레미야가 두려워하지 않도록 하나님이 하신 말씀은?,내가 너와 함께하겠다,기도하라,숨으라,도망가라,1
두려움,두려움은 우리에게 어떤 결과를 줄 수 있는가?,평안,믿음,속박,지혜,3
두려움,하나님을 경외하는 자에게 주어지는 결과는?,저주,풍성한 복,심판,가난,2
두려움,다윗은 '내가 두려워하는 날에' 무엇을 한다고 고백했는가?,숨는다,도망간다,기도한다,주를 의지한다,4
