category,question,option1,option2,option3,option4,answer
과학,뉴턴이 발견한 자연 법칙은?,상대성 이론,만유인력 법칙,진화론,확률 이론,2
과학,아인슈타인이 제시한 공식은?,F = ma,E = mc²,V = IR,P = W/t,2
과학,DNA의 이중 나선 구조를 발견한 사람은?,멘델,다윈,왓슨과 크릭,후킹,3
과학,물의 끓는점은 섭씨 몇 도인가?,90℃,100℃,110℃,80℃,2
과학,인간 유전체 프로젝트(HGP)는 무엇을 연구했는가?,우주의 시작,인간의 유전자 배열,지구 내부 구조,동물의 진화,2
과학,빛은 어떤 경로로 이동하는가?,직선,곡선,무작위,회전,1
과학,지구 대기의 가장 많은 구성 성분은?,산소,수소,이산화탄소,질소,4
과학,소리는 어떤 매질을 통해 전달되는가?,진공,빛,기체,전자기파,3
과학,진화론을 주장한 과학자는?,뉴턴,멘델,다윈,푸앵카레,3
과학,전기를 잘 전달하는 물질은?,고무,유리,구리,플라스틱,3
과학,인체에서 산소를 운반하는 물질은?,백혈구,혈소판,헤모글로빈,효소,3
과학,달은 지구 주위를 며칠마다 한 바퀴 도는가?,28일,30일,15일,10일,1
과학,바이러스와 박테리아 중 항생제가 듣는 것은?,바이러스,박테리아,둘 다,둘 다 아님,2
과학,태양계에서 고리가 있는 행성은?,지구,화성,목성,토성,4
과학,사람의 심장은 몇 개의 방으로 나뉘는가?,2개,3개,4개,5개,3
과학,광합성을 통해 식물이 만드는 주요 산물은?,단백질,지방,포도당,무기염류,3
과학,가장 단단한 천연 물질은?,철,다이아몬드,금,석영,2
과학,수소는 주기율표에서 몇 번 원소인가?,1번,2번,8번,10번,1
과학,지진의 강도를 나타내는 척도는?,켈빈,리히터,옴,암페어,2
과학,태풍의 중심 부위는 무엇이라 불리는가?,구름띠,비구름,눈,태풍의 눈,4
